mouse_id,sex,pgm,liver_wt,gallstone_presence,gallstone_score,gallstone_count,gallstone_weight,gallstone_sandy,gallstone_solid,ChMC_agg,ChMC_ind,chol,HDL_log,nonHDL,D1Mit3,D1Mit21,D1Mit440,D1Mit102,D1Mit111,D1Mit17,D2Mit312,D2Mit79,D2Mit296,D2Mit7,D2Mit182,D2Mit94,D2Mit340,D2Mit285,D2Mit49,D2Mit113,D3Mit203,D3Mit51,D3Mit57,D3Mit147,D4Mit18,D4Mit110,D4Mit17,D4Mit155,D4Mit308,D4Mit251,D4Mit42,D5Mit387,D5Mit201,D5Mit95,D5Mit143,D6Mit86,D6Mit46,D6Mit123,D6Mit102,D6Mit36,D6Mit62,D6Mit111,D6Mit14,D6Mit373,D7Mit267,D7Mit345,D7Mit83,D7Mit323,D7Mit259,D8Mit155,D8Mit292,D8Mit40,D8Mit88,D9Mit58,D9Mit90,D9Mit129,D9Mit307,D9Mit24,D9Mit52,D10Mit123,D10Mit16,D10Mit184,D10Mit31,D10Mit264,D10Mit96,D10Mit14,D11Mit74,D11Mit189,D11Mit4,D11Mit178,D11Mit212,D11Mit67,D11Mit214,D12Mit182,D12Mit60,D12Mit227,D12Mit7,D13Mit302,D13Mit16,D13Mit19,D13Mit13,D13Mit128,D13Mit171,D14Mit98,D14Mit5,D14Mit7,D14Mit131,D15Mit13,D15Mit115,D15Mit71,D15Mit79,D16Mit32,D16Mit101,D16Mit125,D16Mit139,D16Mit86,D17Mit19,D17Mit51,D17Mit39,D17Mit123,D18Mit64,D18Mit12,D18Mit208,D18Mit48,D19Mit68,D19Mit30,D19Mit88,D19Mit26,DXMit81,DXMit1,DXMit8,DXMit149,DXMit121
23,1,1,2.0579,1,2,0,0,2,0,4,2,224,1.892,146,C,C,C,C,H,D,D,D,D,D,D,D,D,D,H,H,H,C,C,H,D,H,H,C,C,C,C,C,D,D,H,C,C,H,H,H,H,H,H,H,D,D,D,C,C,D,D,D,H,D,D,D,D,D,-,C,C,C,C,C,C,C,H,D,D,D,D,D,H,H,H,C,C,D,D,D,D,H,H,H,C,-,C,H,H,H,H,D,D,D,H,H,H,H,H,H,H,C,C,C,C,C,C,C,D,D,D,D,D
24,1,1,1.5029,0,0,0,0,0,0,0,0,246,1.919,163,H,H,D,D,D,D,D,D,D,D,D,H,D,D,D,D,H,H,D,D,H,H,H,H,H,H,H,C,C,C,H,H,H,H,H,H,H,H,C,C,H,C,C,H,H,H,H,H,H,H,H,H,H,H,C,C,C,C,C,H,H,H,H,-,C,C,C,C,H,D,D,H,C,D,D,D,D,H,C,H,H,H,H,C,C,C,H,C,C,C,H,H,D,D,H,C,H,H,C,H,D,D,D,D,C,C,C,C,C
25,1,1,1.1864,1,2,0,0,3,0,4,2,246,2.146,106,H,H,H,H,H,H,D,D,D,D,D,D,H,H,H,H,C,C,C,C,C,C,C,C,C,H,D,H,H,H,H,H,C,C,C,C,C,C,C,C,D,D,D,D,H,C,C,H,H,H,H,H,C,C,C,H,H,H,H,H,H,H,H,H,C,C,C,C,C,C,C,H,H,H,H,H,H,H,H,H,H,D,D,H,H,H,H,C,C,C,C,H,D,H,H,H,D,D,D,H,H,H,D,H,C,C,C,C,D
26,1,1,1.3652,1,2,0,0,2,0,4,0,301,2.045,190,C,H,H,D,D,D,D,H,H,H,H,H,H,H,H,H,D,D,D,D,D,H,H,H,H,D,D,C,H,H,C,H,H,H,H,H,H,H,H,H,D,D,D,D,H,C,C,C,C,H,H,H,H,H,C,D,D,D,D,H,H,H,D,H,H,H,H,H,C,H,H,H,H,H,C,H,C,C,C,D,H,H,H,D,H,H,H,C,C,H,H,D,D,D,D,D,D,D,D,D,H,H,H,H,C,C,C,C,D
27,1,1,1.7022,1,2,0,0,2,0,3,1,406,1.982,310,H,H,H,H,H,H,H,C,C,C,C,C,H,H,H,H,C,D,D,D,C,C,C,C,H,H,H,C,D,D,D,C,H,H,H,H,H,H,H,H,C,H,H,H,H,H,H,D,D,C,H,H,H,H,D,D,D,D,D,H,H,H,C,C,C,C,C,C,D,C,C,H,D,H,H,H,H,C,C,C,C,C,C,H,H,H,H,H,H,H,D,D,C,H,C,C,D,H,C,C,H,H,H,H,D,D,D,D,D
28,1,1,1.1573,1,2,3,0.54,1,4,1,1,306,1.964,214,H,C,C,H,H,H,C,C,C,H,H,H,H,H,H,H,D,D,D,D,D,-,D,H,H,H,H,H,H,D,D,H,H,D,D,D,H,-,H,H,D,D,D,H,H,H,C,C,C,H,H,H,H,H,D,H,H,H,H,H,D,D,H,C,C,C,C,H,H,H,H,H,H,C,C,C,H,H,H,D,D,D,H,C,D,H,D,C,C,H,H,D,D,H,C,C,H,H,H,H,H,H,D,D,D,D,D,D,C
29,1,1,1.3414,1,2,0,0,4,0,4,0,417,1.869,344,D,D,D,D,D,D,C,C,C,C,C,C,H,H,H,H,D,D,H,H,D,H,H,C,C,C,C,H,H,H,H,C,C,C,C,H,H,H,H,H,D,H,H,H,D,H,H,H,H,D,H,H,H,H,D,H,H,H,H,H,H,H,H,H,C,C,C,C,H,H,H,C,C,H,C,C,H,H,H,H,H,H,H,H,H,C,D,H,H,H,H,H,D,D,H,C,D,H,H,H,H,H,H,H,C,C,C,D,D
30,1,1,1.619,1,2,0,0,2,0,3,2,248,2.182,96,H,H,H,H,H,H,H,H,D,D,D,D,D,D,D,D,D,D,D,D,C,H,H,H,H,H,H,H,C,C,H,C,C,H,D,H,H,H,H,H,H,H,H,H,H,C,H,C,C,D,D,D,D,D,D,D,D,H,H,H,D,H,H,H,H,H,H,H,C,H,H,H,H,D,H,D,H,C,H,H,C,-,H,H,H,H,D,H,H,H,H,C,D,H,H,H,H,H,H,H,H,D,D,D,D,D,D,D,D
31,1,1,1.3861,0,0,0,0,0,0,0,0,216,2.188,62,D,D,H,H,H,C,H,H,H,H,H,C,C,C,C,C,C,D,D,D,H,H,H,D,D,H,H,H,C,D,D,D,D,D,D,D,D,D,H,H,C,C,C,C,C,C,C,C,H,D,H,H,H,H,D,C,C,H,D,D,D,D,D,H,H,H,H,H,H,H,H,C,C,H,D,H,D,D,D,D,H,H,C,D,H,H,C,D,D,D,D,H,C,H,D,D,D,H,H,D,H,D,D,-,C,C,C,C,C
32,1,1,1.8066,1,2,0,0,4,0,3,0,193,1.959,102,H,H,H,C,C,H,H,H,D,D,D,D,D,D,D,D,D,H,C,C,D,-,D,H,H,H,H,H,H,D,D,H,H,H,H,H,H,D,D,D,C,C,C,H,D,C,C,C,H,D,D,H,H,H,D,C,C,C,C,C,C,C,H,H,H,H,H,H,H,H,-,H,H,C,H,H,H,H,D,H,C,C,C,H,H,H,H,H,H,H,H,H,H,H,H,C,D,C,C,H,C,C,C,C,C,C,C,C,C
33,1,1,3.1761,1,2,0,0,2,0,3,3,-,1.301,-,C,C,H,H,H,D,H,H,H,H,H,H,H,H,H,H,D,D,H,H,C,C,C,C,C,C,C,H,C,C,C,H,C,C,C,C,C,C,C,C,D,D,D,D,H,H,H,H,H,H,H,H,C,C,C,H,H,H,H,H,H,H,H,D,H,H,H,H,H,H,C,C,C,D,D,D,D,D,D,H,H,H,H,H,H,H,H,H,H,H,H,H,H,D,H,H,D,D,D,D,H,H,H,H,D,D,D,D,D
34,1,1,1.311,1,2,0,0,2,0,4,1,233,2.021,128,C,H,H,H,H,H,H,D,D,D,D,H,C,C,C,C,C,C,C,C,H,D,D,H,H,H,C,H,H,C,H,D,D,D,H,H,C,C,C,C,D,D,D,D,H,C,C,C,C,C,H,H,H,H,H,H,H,H,H,H,H,H,D,D,D,D,D,D,H,C,H,H,H,H,H,H,D,D,D,H,H,H,D,C,C,C,C,H,H,D,D,D,H,H,C,H,H,H,H,H,D,H,H,H,D,D,D,D,D
35,1,1,1.5594,1,2,0,0,4,0,0,1,152,1.833,84,C,H,H,H,H,C,D,C,C,C,C,C,H,H,H,H,C,H,H,H,D,D,D,D,D,D,H,D,D,D,D,H,H,H,H,H,H,H,H,H,C,H,H,D,D,D,D,C,C,H,H,H,H,H,D,H,H,H,H,H,H,C,-,H,C,C,C,C,C,C,C,C,H,D,D,D,H,H,C,H,-,H,H,D,D,D,H,H,C,C,C,C,H,H,H,D,H,H,C,H,H,H,H,H,D,D,D,D,D
36,1,1,2.4877,0,0,0,0,0,0,0,0,343,2.455,58,D,H,C,C,H,H,C,C,C,C,C,C,D,D,D,D,H,H,H,H,H,H,H,H,H,H,H,C,H,H,C,D,D,D,D,D,D,D,D,D,H,H,H,C,C,H,H,D,D,H,C,C,C,C,C,H,H,C,C,H,H,H,D,H,H,H,H,H,D,D,D,D,D,H,H,H,D,H,H,D,D,D,D,C,-,C,H,H,H,H,D,H,C,C,C,C,D,H,H,H,-,D,D,D,D,D,D,D,D
37,1,1,1.0939,1,2,20,0.84,4,4,0,0,204,2.161,59,D,D,D,D,H,H,H,H,H,H,H,H,H,H,H,H,C,C,H,H,H,H,H,H,H,D,D,C,C,H,H,D,D,D,D,D,H,H,H,H,D,D,D,D,C,H,H,H,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,-,D,D,C,C,C,C,H,H,H,H,H,D,H,C,C,H,D,D,D,D,D,D,D,H,H,C,D,H,H,H,H,H,H,C,C,C,C,D
38,1,1,1.6252,0,1,0,0,0,0,2,2,215,2.13,80,C,C,C,C,C,C,D,D,D,D,D,D,D,D,D,D,H,H,H,H,H,H,H,D,H,H,H,C,H,H,H,D,D,D,H,H,H,H,H,H,H,H,H,H,H,H,H,C,H,H,H,H,H,C,C,H,H,H,H,C,C,C,C,C,-,C,C,H,H,D,D,D,D,H,H,H,H,C,H,C,C,D,D,H,H,H,H,D,D,H,H,H,C,C,D,D,-,C,C,H,H,H,H,H,C,D,D,D,D
39,1,1,1.6421,0,0,0,0,0,0,0,0,335,2.248,158,D,D,D,H,H,H,H,H,H,H,C,C,C,C,C,C,H,H,H,C,C,C,C,H,H,H,H,H,D,D,H,H,H,H,H,H,H,H,H,H,H,H,D,-,C,H,C,C,C,D,H,H,H,H,H,H,H,H,H,H,H,D,D,H,H,H,H,H,D,H,H,C,C,H,D,D,D,D,D,C,C,C,H,H,H,H,C,H,H,H,H,C,D,D,H,C,D,D,D,D,H,H,H,H,D,D,D,D,C
40,1,1,2.0416,1,2,0,0,1,0,2,2,207,1.813,142,D,D,D,D,H,H,D,D,D,D,D,D,D,D,D,H,D,D,H,C,D,-,D,H,H,H,D,H,H,C,H,H,H,H,H,H,H,C,C,C,D,D,D,D,D,H,H,H,H,H,H,H,D,D,D,D,D,H,H,H,H,H,H,D,D,D,D,D,D,C,C,C,C,H,H,H,H,H,H,C,C,C,H,H,H,H,H,H,H,H,H,C,C,C,H,H,H,D,D,-,H,H,D,D,D,D,D,C,C
41,1,1,1.2848,1,2,0,0,1,0,4,1,240,2.117,109,H,C,C,H,H,C,D,D,D,D,C,C,H,H,C,C,H,H,D,D,D,D,H,C,C,C,C,H,H,H,H,H,H,H,H,H,H,-,H,H,C,C,H,D,D,C,C,H,D,H,D,H,H,D,H,H,H,H,H,H,C,C,H,H,H,H,H,-,C,C,C,C,C,H,H,H,-,C,-,H,C,H,H,D,H,-,D,H,C,C,C,H,C,C,C,H,H,D,D,D,D,D,D,D,C,C,C,C,C
42,1,1,2.6162,0,0,0,0,0,0,0,0,236,2.225,68,D,H,D,H,H,H,H,H,H,H,H,H,H,H,H,H,C,H,H,H,C,C,C,H,H,H,D,H,H,H,C,H,H,H,H,H,H,H,H,H,C,C,C,C,H,D,H,H,H,C,C,C,H,H,H,C,H,H,H,D,D,D,H,H,H,H,H,H,D,C,C,C,C,D,H,D,C,H,H,D,H,H,D,H,H,H,D,H,H,H,H,H,C,C,C,C,H,D,D,D,H,H,H,H,D,D,D,D,D
43,1,1,1.3676,-,-,-,-,-,-,-,-,303,2.021,198,H,D,D,D,D,H,C,C,C,H,H,H,H,H,H,H,C,C,C,H,C,C,C,C,C,C,H,C,C,H,H,-,H,H,C,C,H,H,H,H,H,H,H,D,D,H,C,C,C,C,C,C,C,D,D,-,D,D,H,H,C,C,D,H,-,-,D,D,D,H,D,D,D,H,H,H,H,H,-,H,D,H,H,H,H,H,H,C,H,H,C,C,H,C,C,-,H,D,D,D,C,D,D,D,D,D,C,C,C
44,1,1,1.4901,1,2,7,1.31,3,4,2,1,293,2.021,188,H,H,H,H,H,H,C,-,H,-,H,H,D,H,H,H,H,H,H,D,C,-,C,C,H,H,H,H,H,H,H,H,H,H,H,H,H,D,D,D,C,C,C,C,H,D,D,H,C,H,C,H,H,H,C,C,H,H,H,H,H,H,D,H,-,H,H,H,H,H,-,H,C,H,H,H,H,H,H,H,C,H,H,H,C,C,C,D,D,D,D,D,H,C,C,C,H,H,H,H,H,C,C,C,C,C,C,C,D
45,1,1,1.6668,1,2,2,0.82,2,4,2,2,198,1.929,113,H,H,H,H,C,C,D,D,D,D,D,D,H,H,H,H,H,H,D,C,D,D,D,H,H,-,H,H,H,C,C,D,D,D,D,D,H,H,H,H,H,H,H,C,C,D,H,H,D,H,H,H,H,H,H,H,H,H,H,D,D,H,C,C,H,C,C,C,H,D,D,H,H,C,C,C,C,C,C,D,D,D,D,H,D,H,H,C,C,C,C,C,C,C,H,H,D,C,H,H,D,C,H,-,D,D,D,D,D
